Acinetobacter baumannii,Bacillus A anthracis,Bacillus A cereus,Bacillus A thuringiensis S,Bacillus A wiedmannii,Clostridium H botulinum A,Corynebacteriaceae genera,Corynebacterium kefirresidentii,Corynebacterium propinquum,Corynebacterium pseudodiphtheriticum,Corynebacterium sp022288805,Corynebacterium spp,Corynebacterium tuberculostearicum,Enterobacter hormaechei,Enterobacteriaceae genera,Escherichia coli,Shigella spp,Gammaproteobacteria order,Klebsiella africana,Klebsiella pneumoniae,Klebsiella quasipneumoniae,Klebsiella spp,Klebsiella variicola,Laceyella sacchari,Moraxella catarrhalis,Moraxella cuniculi,Moraxella nonliquefaciens,Moraxella spp,Mycobacterium tuberculosis,Pseudomonas E viridiflava,Pseudomonas aeruginosa,Pseudomonas aeruginosa A,Pseudomonas spp,Spirillospora cremea,Staphylococcus aureus,Staphylococcus capitis,Staphylococcus caprae,Staphylococcus epidermidis,Staphylococcus haemolyticus,Staphylococcus simiae,Staphylococcus spp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222,0.0,0.0,0.1111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111,0.0,0.0,0.0,0.0,0.1111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222,0.0,0.0,0.0,0.1111111111,0.0,0.0,0.1111111111,0.0,0.0,0.0
0.0,0.014816247582204813,0.0,0.0,0.0034429400386840974,0.0,0.0,0.09388781431334667,0.0022823984526111137,0.11640232108317289,0.0021276595744671362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022823984526111137,0.21791102514506974,0.00441005802707825,0.0,0.0030947775628612888,0.0,0.07535783365570618,0.0,0.0,0.0,0.0,0.0,0.2543133462282415,0.0032882011605401195,0.0,0.0,0.11292069632495241,0.0,0.0,0.09346228239845263,0.0,0.0,0.0
0.0,0.014776234567900946,0.0,0.0,0.0034336419753074384,0.0,0.0,0.09375000000000017,0.002314814814814022,0.11631944444444556,0.002160493827159643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002160493827159643,0.21732253086419986,0.004436728395060898,0.0,0.0032407407407402922,0.0,0.07523148148148137,0.0,0.0,0.0,0.0,0.0,0.25563271604938526,0.003356481481480249,0.0,0.0,0.1126543209876549,0.0,0.0,0.09320987654320984,0.0,0.0,0.0
0.0,0.028222390654955496,0.0,0.0,0.007980739221543453,0.0,0.0,0.09790895715368497,0.0,0.11748183155735878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2037540683935977,0.0,0.0,0.0,0.0,0.08199206384591376,0.0,0.0,0.0,0.0,0.0,0.27000757947300386,0.0,0.0,0.0,0.12510588969637526,0.0,0.0,0.06754648000356671,0.0,0.0,0.0
0.0,0.030488616695513216,0.0,0.0,0.008520836107043005,0.0,0.0,0.09745706297430425,0.0,0.11693959969822026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20321306528203092,0.0,0.0,0.0,0.0,0.08161363333777125,0.0,0.0,0.0,0.0,0.0,0.2695158212399594,0.0,0.0,0.0,0.12470598677495227,0.0,0.0,0.06754537789020544,0.0,0.0,0.0
0.0,0.01302193369953384,0.0,0.0,0.003149848269502953,0.0,0.0,0.0951484654092888,0.002804133215533217,0.11604501978258412,0.002074290323818418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004916836323126961,0.2188760419467627,0.0033803249721499904,0.0,0.004455882917834525,0.0,0.07736334652172275,0.0,0.0,0.0,0.0,0.0,0.2516805592901353,0.00257365651288618,0.0,0.0,0.1117043752160723,0.0,0.0,0.09280528559904802,0.0,0.0,0.0
0.0,0.013025322759835228,0.0,0.0,0.0031414013714894545,0.0,0.0,0.09504654637398101,0.0024518254606742227,0.11630847029077106,0.0020687277324439304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004903650921348445,0.2182890855457253,0.0033712600084272767,0.0,0.004482243420295478,0.0,0.07727081178408628,0.0,0.0,0.0,0.0,0.0,0.2529594299505826,0.0026816840976120453,0.0,0.0,0.11144312914224529,0.0,0.0,0.09255641114048234,0.0,0.0,0.0
0.0,0.02014922039047475,0.0,0.0,0.004557029888754732,0.0,0.0,0.09811017289907521,0.0,0.11906357503462447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21717374793369967,0.0,0.0,0.0,0.0,0.08216056828843307,0.0,0.0,0.0,0.0,0.0,0.2621632488942503,0.0,0.0,0.0,0.12473752401376052,0.0,0.0,0.07188491265692716,0.0,0.0,0.0
0.0,0.021505855113762865,0.0,0.0,0.004942339373970328,0.0,0.0,0.0977781735607106,0.0,0.11870519613517962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2169286254953471,0.0,0.0,0.0,0.0,0.08188254152010321,0.0,0.0,0.0,0.0,0.0,0.2620330379803198,0.0,0.0,0.0,0.12440447036822659,0.0,0.0,0.07181976045237996,0.0,0.0,0.0
0.0,0.013786331500391751,0.0,0.0,0.0029457973291426485,0.0,0.0,0.09198743126472957,0.0,0.11154752553024423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003024351924586873,0.22321288295365344,0.002592301649646267,0.0,0.003927729772191513,0.0,0.07572663000785526,0.0,0.0,0.0,0.0,0.0,0.26099764336213754,0.003260015710918233,0.0,0.0,0.11209740769835116,0.0,0.0,0.09489395129615141,0.0,0.0,0.0
