Acinetobacter,Bacillus A,Clostridium H,Corynebacteriaceae genera,Corynebacterium,Enterobacter,Enterobacteriaceae genera,Escherichia,Shigella,Gammaproteobacteria order,Klebsiella,Laceyella,Moraxella,Mycobacterium,Pseudomonas,Pseudomonas E,Spirillospora,Staphylococcus
0.0,0.0,0.0,0.0,0.33333333330000003,0.0,0.0,0.0,0.0,0.0,0.1111111111,0.0,0.1111111111,0.0,0.2222222222,0.0,0.0,0.2222222222
0.0,0.01825918762088891,0.0,0.0,0.2147001934235978,0.0,0.0,0.0,0.0,0.0,0.2276982591876204,0.0,0.07535783365570618,0.0,0.2576015473887816,0.0,0.0,0.20638297872340505
0.0,0.018209876543208384,0.0,0.0,0.21454475308641938,0.0,0.0,0.0,0.0,0.0,0.2271604938271607,0.0,0.07523148148148137,0.0,0.2589891975308655,0.0,0.0,0.20586419753086474
0.0,0.03620312987649895,0.0,0.0,0.21539078871104375,0.0,0.0,0.0,0.0,0.0,0.2037540683935977,0.0,0.08199206384591376,0.0,0.27000757947300386,0.0,0.0,0.19265236969994198
0.0,0.03900945280255622,0.0,0.0,0.2143966626725245,0.0,0.0,0.0,0.0,0.0,0.20321306528203092,0.0,0.08161363333777125,0.0,0.2695158212399594,0.0,0.0,0.19225136466515771
0.0,0.01617178196903679,0.0,0.0,0.21607190873122456,0.0,0.0,0.0,0.0,0.0,0.23162908615987415,0.0,0.07736334652172275,0.0,0.25425421580302143,0.0,0.0,0.20450966081512031
0.0,0.016166724131324684,0.0,0.0,0.2158755698578702,0.0,0.0,0.0,0.0,0.0,0.23104623989579648,0.0,0.07727081178408628,0.0,0.2556411140481947,0.0,0.0,0.20399954028272763
0.0,0.02470625027922948,0.0,0.0,0.2171737479336997,0.0,0.0,0.0,0.0,0.0,0.21717374793369967,0.0,0.08216056828843307,0.0,0.2621632488942503,0.0,0.0,0.19662243667068768
0.0,0.026448194487733192,0.0,0.0,0.21648336969589022,0.0,0.0,0.0,0.0,0.0,0.2169286254953471,0.0,0.08188254152010321,0.0,0.2620330379803198,0.0,0.0,0.19622423082060655
0.0,0.0167321288295344,0.0,0.0,0.2035349567949738,0.0,0.0,0.0,0.0,0.0,0.2327572663000781,0.0,0.07572663000785526,0.0,0.26425765907305576,0.0,0.0,0.20699135899450258
0.0,0.01672621618437993,0.0,0.0,0.2035022969099694,0.0,0.0,0.0,0.0,0.0,0.2327142801052242,0.0,0.07577839726726553,0.0,0.26436059523342237,0.0,0.0,0.20691821429973845
0.0,0.03068600698932442,0.0,0.0,0.2104456891186749,0.0,0.0,0.0,0.0,0.0,0.21398822346689644,0.0,0.0877974053329504,0.0,0.2814878644262531,0.0,0.0,0.1755948106659006
0.0,0.03525398028809691,0.0,0.0,0.20915466262319923,0.0,0.0,0.0,0.0,0.0,0.21294541319181207,0.0,0.08690295678544352,0.0,0.28023123578468545,0.0,0.0,0.1755117513267626
0.0,0.027730503553909082,0.0,0.0,0.2395635198718591,0.0,0.0,0.0,0.0,0.0,0.22234457903694077,0.0,0.09210131144258688,0.0,0.2164881369506459,0.0,0.0,0.20177194914405844
0.0,0.030205496410002378,0.0,0.0,0.23733597425105224,0.0,0.0,0.0,0.0,0.0,0.22094577865808387,0.0,0.09111166130230258,0.0,0.21624164397128004,0.0,0.0035157217132952504,0.20064372369398364
0.0,0.012519561815334406,0.0,0.0,0.21729264475743243,0.0,0.0,0.0,0.0,0.0,0.23192488262910782,0.0,0.07558685446009371,0.0,0.25172143974961164,0.0,0.0028169014084499784,0.20813771517997
0.007184284377919955,0.017998129092601824,0.0020205799812910152,0.0,0.20808231992516688,0.0,0.0,0.01747427502338116,0.0,0.0,0.22304957904584272,0.0,0.07232927970065668,0.008606173994387012,0.24082319925164145,0.0029934518241348383,0.0022450888681011284,0.19719363891487543
0.0,0.020735267830542543,0.0,0.0,0.27462313054876963,0.0,0.0,0.0,0.0,0.0,0.2043138890544003,0.0,0.10874098790442714,0.0,0.1819102663409402,0.0,0.0,0.20967645832092
0.0,0.024006573927334518,0.0,0.0,0.27088102365439937,0.0,0.0,0.0,0.0,0.0,0.20367435581381704,0.0,0.10723718964606443,0.0,0.18207430885719317,0.0,0.003873921465046629,0.20825262663614472
0.0,0.009920396815871611,0.0,0.0,0.2069282771310858,0.0,0.0,0.0,0.0,0.0,0.23112924516980637,0.0,0.07636305452218103,0.0,0.26201048041921826,0.0,0.002840113604543312,0.21080843233729385
0.004063782026472753,0.01710658719714727,0.0,0.0,0.20032510256211614,0.0,0.0,0.00870810434243818,0.0,0.0,0.22617849678768284,0.0,0.07396083288180359,0.0074309157055488725,0.2535799984518951,0.0020899450421859875,0.0025930799597492804,0.20396315504296
0.0,0.024238453979691887,0.0,0.0,0.24526695054045206,0.0,0.0,0.0,0.0,0.0,0.2125122830003276,0.0,0.11765476580412712,0.0,0.20537176547658045,0.0,0.0,0.1949557811988208
0.0,0.028011931007651203,0.0,0.0,0.24439112955518094,0.0,0.0,0.0,0.0,0.0,0.21138633121514738,0.0,0.11658669433277136,0.0,0.20529114252366762,0.0,0.0,0.19433277136558164
