Bacillus A,Corynebacteriaceae genera,Corynebacterium,Enterobacter,Enterobacteriaceae genera,Shigella,Gammaproteobacteria order,Klebsiella,Laceyella,Moraxella,Pseudomonas,Staphylococcus
0.0,0.0,0.33333333330000003,0.0,0.0,0.0,0.0,0.1111111111,0.0,0.1111111111,0.2222222222,0.2222222222
0.0,0.0,0.8432178005990587,0.0,0.05956354300385109,0.0,0.0,0.0065040650406504065,0.0,0.04527171587505349,0.0,0.04544287548138639
0.0,0.0,0.8907249466950959,0.0,0.04717484008528784,0.00026652452025586353,0.0,0.0026652452025586353,0.0,0.016791044776119403,0.0025319829424307033,0.0398454157782516
0.0,0.0007050528789659225,0.7168037602820212,0.0,0.13513513513513511,0.0,0.006462984723854289,0.018213866039952994,0.0,0.0781433607520564,0.0,0.0445358401880141
0.0,0.0,0.7736146568553837,0.0,0.06555038294038144,0.0,0.0,0.008484757471091757,0.0,0.09933924012614508,0.0,0.05301096260699805
0.0,0.0,0.8418363776331445,0.0,0.050948281895164114,0.0,0.0,0.004828889355448247,0.0,0.0515081531247813,0.0,0.050878297991461964
0.0,0.0,0.7491954195045281,0.0,0.09258289050220792,0.0001496893945063992,0.0,0.010104034129181948,0.0,0.08113165182246837,0.0,0.06683631464710725
0.0,0.0,0.0016823374509427002,0.0,0.0,0.0,0.0,0.548597607462148,0.0033505000461037,0.1538984435381176,0.0208578502908378,0.2716132612118337
0.0,0.0,0.0011099711385955,0.0,0.0,0.0,0.0,0.592461442587617,0.0031483790388147,0.15238596881238572,0.0173975569745651,0.23349668144804722
0.0,0.0,0.0007329198659133,0.0,0.0,0.0,0.0,0.5682975527757357,0.0028048573719828,0.20321091196298602,0.0371844278072561,0.18776933021614028
0.0,0.0,0.0017394136174719,7.75890914367541e-05,0.0,0.0,0.0,0.5288334070704328,0.0026311195958162,0.1028023394915427,0.0145883820116854,0.34932774912164455
0.0,0.0,0.0015759520702555,0.0,0.0,0.0,0.0,0.4954784425467795,0.0025767069090511,0.0729287072311952,0.0100169435498858,0.4174232476928334
0.0,0.0,0.0012723112270307,0.000204040050923,0.0,0.0,0.0,0.552033213360244,0.0024860448915953,0.0477183286966448,0.0111302736911994,0.385155788082381
0.0,0.0,0.1767432602166888,0.0,0.0,0.0,0.0,0.0404279366563018,0.0,0.1261336407407195,0.0269568832857043,0.6297382791005852
0.0,0.0,0.16625994965289329,0.0,0.0,0.0,0.0,0.0455675961952256,0.0,0.1384921586481755,0.022195088499247,0.627485207004459
0.0,0.0,0.1297186505201095,0.0,0.0,0.0,0.0,0.0684046634969463,0.0,0.17230562855331372,0.0482422882738778,0.5813287691557544
0.0,0.0,0.2114958905235926,0.0,0.0,0.0,0.0,0.0375928788268167,0.0,0.1134799246722693,0.0229961072710508,0.6144351987062723
0.0,0.0,0.21965612257897188,0.0,0.0,0.0,0.0,0.0386171879498621,0.0,0.1015603394398731,0.0186625820906085,0.621503767940683
0.0,0.0,0.1604033210700442,0.0,0.0,0.0,0.0,0.0568967674382393,0.0,0.1255197264346815,0.0369105630951685,0.6202696219618671
0.015132956655734804,0.0,0.21478525425737877,0.0,0.0,0.0,0.0,0.22256904658421983,0.0,0.07696866727251149,0.2597494962266389,0.2107945790035161
0.013333333333331834,0.0,0.21624385447394243,0.0,0.0,0.0,0.0,0.22411012782694317,0.0,0.07921337266469983,0.2576991150442494,0.2094001966568333
0.014006943613072066,0.0,0.20679197094856205,0.0,0.0,0.0,0.0,0.22678478790055465,0.0,0.0769384253162532,0.2651741889141626,0.21030368330739532
0.010693906867243504,0.0,0.2164319061489951,0.0,0.0,0.0,0.0,0.2267666892781614,0.0,0.07709189577431014,0.2567335700889846,0.21228203184230515
0.00798378926038484,0.0,0.20964539007092187,0.0,0.0,0.0,0.0,0.2282877406281664,0.0,0.0773657548125632,0.2631408308004062,0.21357649442755788
0.03620312987649895,0.0,0.21539078871104375,0.0,0.0,0.0,0.0,0.2037540683935977,0.0,0.08199206384591376,0.27000757947300386,0.19265236969994198
0.020241461334769367,0.0,0.21816794578340287,0.0,0.0,0.0,0.0,0.21816794578340287,0.0,0.0825366904537497,0.2633634037969572,0.19752255284771786
0.03068600698932442,0.0,0.2104456891186749,0.0,0.0,0.0,0.0,0.21398822346689644,0.0,0.0877974053329504,0.2814878644262531,0.1755948106659006
0.027730503553909082,0.0,0.2395635198718591,0.0,0.0,0.0,0.0,0.22234457903694077,0.0,0.09210131144258688,0.2164881369506459,0.20177194914405844
0.01751554280248674,0.0,0.27552606408417024,0.0,0.0,0.0,0.0,0.20498565279770442,0.0,0.10909851745576282,0.182508369201339,0.21036585365853655
0.024238453979691887,0.0,0.24526695054045206,0.0,0.0,0.0,0.0,0.2125122830003276,0.0,0.11765476580412712,0.20537176547658045,0.1949557811988208
