Mock,Classified Reads,Unclassified Reads
A,0.0566677955504612,0.9433322044495388
B,0.021322968116229024,0.978677031883771
C,0.06041634131503437,0.9395836586849656
E,0.07002595488688723,0.9299740451131128
F,0.015624497575206564,0.9843755024247934
