Mock,Classified Reads,Unclassified Reads
A,0.46761331695434005,0.53238668304566
B,0.4203701005391228,0.5796298994608772
C,0.5628467153284671,0.4371532846715329
D,0.4634512546277252,0.5365487453722748
E,0.5108319415196185,0.4891680584803815
F,0.496387156925587,0.503612843074413
