Mock,Classified Reads,Unclassified Reads
A,0.06101551110715275,0.9389844888928472
B,0.0803898743295216,0.9196101256704784
C,0.06570870074707102,0.934291299252929
E,0.07606766616273564,0.9239323338372644
F,0.0570507698282674,0.9429492301717326
