Mock,Classified Reads,Unclassified Reads
A,0.5104912648816312,0.4895087351183688
B,0.532661440836133,0.4673385591638671
C,0.6707531417523508,0.3292468582476492
D,0.515893826478977,0.484106173521023
E,0.5772036474164135,0.4227963525835865
F,0.6042266705069125,0.3957733294930875
